"source_file","status","rationale"
"R/001-schema.R","core","Established foundational/front-door data, import, preprocessing, quality, or visualization interface."
"R/002-class.R","core","Established foundational/front-door data, import, preprocessing, quality, or visualization interface."
"R/003-mapping-adapters.R","core","Established foundational/front-door data, import, preprocessing, quality, or visualization interface."
"R/004-import-generic.R","core","Established foundational/front-door data, import, preprocessing, quality, or visualization interface."
"R/005-import-gazepoint.R","core","Established foundational/front-door data, import, preprocessing, quality, or visualization interface."
"R/006-import-other-vendors.R","core","Established foundational/front-door data, import, preprocessing, quality, or visualization interface."
"R/007-coordinates-time.R","core","Established foundational/front-door data, import, preprocessing, quality, or visualization interface."
"R/008-trials-aoi.R","core","Established foundational/front-door data, import, preprocessing, quality, or visualization interface."
"R/009-preprocessing.R","core","Established foundational/front-door data, import, preprocessing, quality, or visualization interface."
"R/010-features.R","core","Established foundational/front-door data, import, preprocessing, quality, or visualization interface."
"R/011-quality-governance.R","core","Established foundational/front-door data, import, preprocessing, quality, or visualization interface."
"R/012-plots.R","core","Established foundational/front-door data, import, preprocessing, quality, or visualization interface."
"R/013-models.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/014-simulation.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/015-export-report-bridges.R","workflow","Orchestration, interoperability, validation-program, provenance, reporting, or governance workflow."
"R/016-advanced-experimental.R","experimental","Research-facing module with explicit experimental/emerging model scope; requires validation-oriented use."
"R/017-format-validation.R","core","Established foundational/front-door data, import, preprocessing, quality, or visualization interface."
"R/018-gazepoint-real-exports.R","core","Established foundational/front-door data, import, preprocessing, quality, or visualization interface."
"R/019-gazepoint-downstream-workflow.R","workflow","Orchestration, interoperability, validation-program, provenance, reporting, or governance workflow."
"R/020-interoperability-storage.R","workflow","Orchestration, interoperability, validation-program, provenance, reporting, or governance workflow."
"R/021-validation-program.R","workflow","Orchestration, interoperability, validation-program, provenance, reporting, or governance workflow."
"R/022-advanced-models-v2.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/023-validation-orchestration.R","workflow","Orchestration, interoperability, validation-program, provenance, reporting, or governance workflow."
"R/024-dynamic-irtree-engine.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/025-vendor-corpus.R","workflow","Orchestration, interoperability, validation-program, provenance, reporting, or governance workflow."
"R/026-functional-pupil-engine.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/027-strategy-diffusion-engines.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/028-api-storage-adapters.R","workflow","Orchestration, interoperability, validation-program, provenance, reporting, or governance workflow."
"R/029-benchmark-reproducibility.R","workflow","Orchestration, interoperability, validation-program, provenance, reporting, or governance workflow."
"R/030-measurement-intelligence-utils.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/031-probabilistic-aoi.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/032-compositional-aoi.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/033-process-uncertainty.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
"R/034-calibration-recalibration.R","advanced","Specialist scientific, modelling, diagnostic, reliability, or measurement interface outside the core front door."
