r_name,python_name,source_file,rd_help,r_signature,arg_count,uses_dots,s3_generic_or_method,related_tests,related_articles,lifecycle_status,plot_candidate,python_module,python_test_file,p0_discovered,p1_api,p2_structural,p3_semantic,p4_numerical,p5_algorithmic,p6_plot,p7_docs_examples,blocker
add_provenance,add_provenance,R/002-class.R,man/eyeprocess-class.Rd,"(
    x,
    action,
    component = NA_character_,
    details = NA_character_,
    source_files = NA_character_,
    file_hashes = NULL,
    software = ""eyeprocess"",
    software_version = NULL,
    reversible = TRUE,
    warnings = NA_character_)",10,False,False,,,unclassified,False,src/eyeprocesspy/dataset.py,tests/test_core_parity.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
add_responses,add_responses,R/008-trials-aoi.R,man/eyeprocess-trials-aoi.Rd,"(x, responses, overwrite = FALSE)",3,False,False,,,unclassified,False,eyeprocesspy.foundation_09,tests/test_core_foundation_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
align_clock,align_clock,R/007-coordinates-time.R,man/eyeprocess-coordinates-time.Rd,"(timestamp, offset = 0, slope = 1)",3,False,False,,,unclassified,False,src/eyeprocesspy/timebase.py,tests/test_core_parity.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
align_response_matrices,align_response_matrices,R/013-models.R,man/eyeprocess-models.Rd,"(Y, RT)",2,False,False,,vignettes/psychometric-process-models.Rmd,experimental,False,eyeprocesspy.legacy_models,tests/test_legacy_models.py,yes,implemented,implemented,implemented_initial,not_started,source_ported,not_applicable,docstring_initial,
analysis_readiness,analysis_readiness,R/011-quality-governance.R,man/eyeprocess-quality.Rd,(x),1,False,False,tests/testthat/test-quality-plots.R,vignettes/getting-started.Rmd|vignettes/responsible-use.Rmd,unclassified,False,eyeprocesspy.foundation_09,tests/test_core_foundation_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
anonymize_eye_dataset,anonymize_eye_dataset,R/017-format-validation.R,man/eyeprocess-format-validation.Rd,"(
    x,
    drop_raw = TRUE,
    strip_source_paths = TRUE,
    redact_free_text = TRUE,
    anonymize_aois = TRUE,
    retain_map = FALSE,
    participant_prefix = ""P"",
    recording_prefix = ""R"",
    session_prefix = ""S"")",9,False,False,tests/testthat/test-format-validation.R,,unclassified,False,eyeprocesspy.io_validation_10,tests/test_io_format_validation_10.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
append_eye_table,append_eye_table,R/002-class.R,man/eyeprocess-class.Rd,"(x, table, value, validate = TRUE)",4,False,False,,,unclassified,False,src/eyeprocesspy/dataset.py,tests/test_core_parity.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
apply_clock_transform,apply_clock_transform,R/007-coordinates-time.R,man/eyeprocess-coordinates-time.Rd,"(x, transform, components = c(""biometrics""), source_clock = NULL)",4,False,False,,,unclassified,False,src/eyeprocesspy/timebase.py,tests/test_core_parity.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
as_eye_biometrics,as_eye_biometrics,R/015-export-report-bridges.R,man/eyeprocess-export-report.Rd,"(x, ...)",2,True,True,,,unclassified,False,eyeprocesspy.io_validation_10,tests/test_io_format_validation_10.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
as_eye_dataset,as_eye_dataset,R/002-class.R,man/eyeprocess-class.Rd,"(x, ...)",2,True,True,,,unclassified,False,eyeprocesspy.foundation_09,tests/test_core_foundation_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
assign_aois,assign_aois,R/008-trials-aoi.R,man/eyeprocess-trials-aoi.Rd,"(
    x,
    component = c(""gaze_samples"", ""episodes""),
    overlap = c(""first"", ""all"", ""smallest""),
    overwrite = TRUE)",4,False,False,tests/testthat/test-trials-aoi-features.R,vignettes/preprocessing-features.Rmd,unclassified,False,eyeprocesspy.foundation_09,tests/test_core_foundation_09.py,yes,implemented,implemented,implemented_initial,tested_initial,source_ported,not_applicable,docstring_initial,
