source_file,export_count
R/052-irt-validation-0-7.R,34
R/028-api-storage-adapters.R,30
R/005-import-gazepoint.R,29
R/051-advanced-process-irt-0-7.R,29
R/021-validation-program.R,26
R/017-format-validation.R,25
R/023-validation-orchestration.R,25
R/055-requested-api-completion-0-7.R,22
R/062-context-process-structure-0-8.R,21
R/012-plots.R,19
R/061-pupil-advanced-representations-0-8.R,19
R/027-strategy-diffusion-engines.R,18
R/070-governed-pipelines-0-9.R,18
R/072-sensitivity-multiverse-0-9.R,18
R/020-interoperability-storage.R,17
R/050-process-irt-models-0-7.R,17
R/049-multimodal-irt-registry.R,17
R/075-benchmark-stress-0-9.R,17
R/083-irt-foundations-information-0-9.R,17
R/085-irt-scoring-adaptive-0-9.R,17
R/011-quality-governance.R,16
R/006-import-other-vendors.R,16
R/078-reproducibility-provenance-0-9.R,16
R/069-validation-program-0-9.R,16
R/013-models.R,15
R/048-semantic-validation-0-7.R,15
R/073-decision-manifests-0-9.R,15
R/076-calibration-quality-uncertainty-0-9.R,15
R/074-process-registry-reliability-0-9.R,15
R/086-irt-linking-invariance-0-9.R,15
R/009-preprocessing.R,14
R/010-features.R,14
R/082-validation-evidence-programs-0-9.R,14
R/091-validation-stress-freeze-0-9.R,14
R/007-coordinates-time.R,13
R/025-vendor-corpus.R,13
R/058-process-preflight-governance-0-8.R,13
R/071-api-lifecycle-0-9.R,13
R/094-validation-paper-tables-atlas-0-9.R,13
R/016-advanced-experimental.R,12
R/090-irt-multidimensional-cdm-0-9.R,12
R/003-mapping-adapters.R,11
R/029-benchmark-reproducibility.R,11
R/024-dynamic-irtree-engine.R,11
R/064-next-generation-plots-0-8.R,11
R/077-negative-controls-leakage-0-9.R,11
R/093-irt-advanced-diagnostics-governance-0-9.R,11
R/084-irt-diagnostics-0-9.R,11
R/088-irt-engine-adapters-0-9.R,11
R/089-irt-validation-evidence-0-9.R,11
R/002-class.R,10
R/022-advanced-models-v2.R,10
R/032-compositional-aoi.R,10
R/060-process-window-representations-0-8.R,10
R/087-irt-process-joint-0-9.R,10
R/008-trials-aoi.R,9
R/019-gazepoint-downstream-workflow.R,9
R/036-device-linking.R,9
R/034-calibration-recalibration.R,9
R/031-probabilistic-aoi.R,9
R/043-item-bank-optimization.R,9
R/044-process-dif-fairness.R,9
R/035-process-reliability.R,9
R/037-pupil-registration.R,9
R/041-representative-scanpaths.R,9
R/042-process-episodes.R,9
R/033-process-uncertainty.R,9
R/039-recurrence-analysis.R,9
R/040-fixation-point-process.R,9
R/038-informative-missingness.R,9
R/063-operational-validation-0-8.R,9
R/079-software-paper-evidence-0-9.R,9
R/015-export-report-bridges.R,8
R/026-functional-pupil-engine.R,8
R/046-evidence-provenance-graph.R,8
R/045-process-norms.R,8
R/067-advanced-sensitivity-diagnostics-0-8.R,8
R/059-deployment-drift-0-8.R,8
R/081-validation-extras-0-9.R,8
R/110-multimodal-m4-evidence-0-11.R,8
R/001-schema.R,7
R/054-additional-process-measurement-0-7.R,7
R/106-multimodal-m3-evidence-0-10.R,7
R/065-frontier-gates-0-8.R,6
R/102-multimodal-m2-evidence-0-10.R,6
R/030-measurement-intelligence-utils.R,5
R/066-process-decision-features-0-8.R,5
R/068-bayesian-3pl-process-diagnostics-0-8.R,5
R/014-simulation.R,4
R/057-emerging-process-irt-0-7.R,4
R/095-multimodal-measurement-contract-0-10.R,3
R/047-measurement-intelligence-adapters.R,2
R/097-process-information-0-10.R,2
R/099-multimodal-validation-0-10.R,2
R/098-multimodal-fit-contract-0-10.R,2
R/101-multimodal-m2-reference-0-10.R,2
R/103-multimodal-m2-recovery-0-10.R,2
R/105-multimodal-m3-reference-0-10.R,2
R/107-multimodal-m3-recovery-0-10.R,2
R/109-multimodal-m4-reference-0-11.R,2
R/111-multimodal-m4-recovery-0-11.R,2
R/004-import-generic.R,1
R/018-gazepoint-real-exports.R,1
R/096-multimodal-simulation-0-10.R,1
