file,python_article,title,export_refs,status
vignettes/adaptive-testing-governance.Rmd,docs/articles/adaptive-testing-governance.md,Adaptive testing design and governance,eyeprocess_irt_item_bank|eyeprocess_irt_item_selection|eyeprocess_irt_stopping_rule,not_started
vignettes/advanced-model-validation-0-7.Rmd,docs/articles/advanced-model-validation-0-7.md,"Validation Before Promotion: Recovery, SBC, PPC, and Transportability",audit_bias|audit_channel_incremental_information|audit_convergence|audit_coverage|audit_identifiability|audit_interval_width|audit_measurement_transportability|audit_rmse|audit_sbc|external_validate_irt|grade_model_evidence|irt_validation_spec|leave_device_out_validation|leave_item_out_validation|leave_session_out_validation|leave_site_out_validation|negative_control_process_test|posterior_predictive_discrepancies|posterior_sbc_contract|process_dependent_discrimination_audit|recommended_validation_replications|run_posterior_sbc|run_sbc|stress_test_latent_distribution|stress_test_local_dependence|stress_test_missingness|stress_test_preprocessing|stress_test_speededness|summarize_parameter_recovery|validation_mcse,not_started
vignettes/advanced-model-validation.Rmd,docs/articles/advanced-model-validation.md,Advanced model programme and validation,advanced_model_evidence_spec|audit_advanced_model_evidence|write_advanced_model_evidence_report|dynamic_irtree_spec|fit_dynamic_irtree|functional_pupil_irt_spec|fit_joint_functional_pupil_irt|theory_strategy_spec|fit_theory_strategy_irt|gaze_diffusion_spec|fit_gaze_diffusion_irt|advanced_validation_grid,not_started
vignettes/advanced-pupillometry-representations.Rmd,docs/articles/advanced-pupillometry-representations.md,Advanced pupillometry representations and confound control,adjust_pupil_confounds|audit_signal_filter|compare_pupil_kernels|compare_raw_adjusted_pupil|compare_signal_filters|filter_pupil_signal|fit_pupil_confound_model|fit_pupil_event_deconvolution|pupil_activity_index|pupil_confound_effects|pupil_event_effects|pupil_frequency_features,not_started
vignettes/advanced-rasch-mixture-and-imputation-sensitivity.Rmd,docs/articles/advanced-rasch-mixture-and-imputation-sensitivity.md,"Advanced Rasch, mixture-IRT, and imputation sensitivity",audit_item_reduction_sensitivity|audit_nonparametric_rasch|biometric_imputation_sensitivity|fit_mixture_irt_process_classes|fit_process_rasch_tree|map_latent_classes_to_process_profiles,not_started
vignettes/api-lifecycle-and-canonical-interfaces.Rmd,docs/articles/api-lifecycle-and-canonical-interfaces.md,API lifecycle and canonical interfaces,api_surface_summary|audit_eye_api|eye_api_inventory|eye_api_lifecycle|eye_api_recommendation|register_eye_api_status,not_started
vignettes/api-storage-adapters.Rmd,docs/articles/api-storage-adapters.md,"Stable APIs, scalable storage, and external adapters",benchmark_eye_storage|detect_corrupt_partitions|external_model_engines|eyeprocess_api_version|eyeprocess_deprecation|fit_brms_adapter|fit_lnirt_adapter|fit_mirt_adapter|fit_tam_adapter|migrate_eye_storage_schema|object_schema|partition_eye_storage|query_eye_storage|storage_transaction_manifest|upgrade_eye_dataset|upgrade_eyeprocess_model|validate_eye_storage_metadata|validate_model_object|write_partitioned_eye_storage,not_started
vignettes/bayesian-and-3pl-process-diagnostics.Rmd,docs/articles/bayesian-and-3pl-process-diagnostics.md,Bayesian and 3PL Process Diagnostics,audit_3pl_process_signatures|bayesian_process_diagnostic_flags|bayesian_process_diagnostics_dashboard|fit_gaze_anchored_3pl_audit|gaze_anchored_3pl_alignment,not_started
vignettes/benchmark-reproduction.Rmd,docs/articles/benchmark-reproduction.md,Public benchmark and software-paper reproduction,audit_benchmark_release|eyeprocess_benchmark_study|run_benchmark_reproduction|validate_benchmark_study|write_benchmark_data_dictionary|write_software_paper_reproduction,not_started
vignettes/benchmarking-and-stress-testing.Rmd,docs/articles/benchmarking-and-stress-testing.md,Computational benchmarking and synthetic stress testing,eye_benchmark_design|stress_test_process_pipeline|stress_test_summary|synthetic_corruption_plan,not_started
