"name","status","canonical","replacement","since","notes"
"add_provenance","core","add_provenance",,"0.9.0.9000","Curated module-level core classification; source: 002-class.R. Lifecycle status does not establish construct validity."
"add_responses","core","add_responses",,"0.9.0.9000","Curated module-level core classification; source: 008-trials-aoi.R. Lifecycle status does not establish construct validity."
"addm_glam_proxy_features","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 066-process-decision-features-0-8.R. Lifecycle status does not establish construct validity."
"adjust_pupil_confounds","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 061-pupil-advanced-representations-0-8.R. Lifecycle status does not establish construct validity."
"advanced_model_evidence_spec","workflow","advanced_model_evidence_spec",,"0.9.0.9000","Curated module-level workflow classification; source: 021-validation-program.R. Lifecycle status does not establish construct validity."
"advanced_validation_grid","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 022-advanced-models-v2.R. Lifecycle status does not establish construct validity."
"algorithm_facet_effects","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 055-requested-api-completion-0-7.R. Lifecycle status does not establish construct validity."
"align_clock","core","align_clock",,"0.9.0.9000","Curated module-level core classification; source: 007-coordinates-time.R. Lifecycle status does not establish construct validity."
"align_response_matrices","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 013-models.R. Lifecycle status does not establish construct validity."
"analysis_decision_entropy","workflow","analysis_decision_entropy",,"0.9.0.9000","Curated module-level workflow classification; source: 073-decision-manifests-0-9.R. Lifecycle status does not establish construct validity."
"analysis_environment_snapshot","workflow","analysis_environment_snapshot",,"0.9.0.9000","Curated module-level workflow classification; source: 078-reproducibility-provenance-0-9.R. Lifecycle status does not establish construct validity."
"analysis_readiness","core","analysis_readiness",,"0.9.0.9000","Curated module-level core classification; source: 011-quality-governance.R. Lifecycle status does not establish construct validity."
"analysis_resolution_guard","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 081-validation-extras-0-9.R. Lifecycle status does not establish construct validity."
"anonymize_eye_dataset","core","anonymize_eye_dataset",,"0.9.0.9000","Curated module-level core classification; source: 017-format-validation.R. Lifecycle status does not establish construct validity."
"aoi_balance_coordinates","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 032-compositional-aoi.R. Lifecycle status does not establish construct validity."
"aoi_membership_probability","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 076-calibration-quality-uncertainty-0-9.R. Lifecycle status does not establish construct validity."
"aoi_trajectory_features","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 060-process-window-representations-0-8.R. Lifecycle status does not establish construct validity."
"api_family_map","workflow","api_family_map",,"0.9.0.9000","Curated module-level workflow classification; source: 071-api-lifecycle-0-9.R. Lifecycle status does not establish construct validity."
"api_lifecycle_diff","workflow","api_lifecycle_diff",,"0.9.0.9000","Curated module-level workflow classification; source: 071-api-lifecycle-0-9.R. Lifecycle status does not establish construct validity."
"api_surface_summary","workflow","api_surface_summary",,"0.9.0.9000","Curated module-level workflow classification; source: 071-api-lifecycle-0-9.R. Lifecycle status does not establish construct validity."
"append_eye_table","core","append_eye_table",,"0.9.0.9000","Curated module-level core classification; source: 002-class.R. Lifecycle status does not establish construct validity."
"apply_clock_transform","core","apply_clock_transform",,"0.9.0.9000","Curated module-level core classification; source: 007-coordinates-time.R. Lifecycle status does not establish construct validity."
"apply_device_linking","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 036-device-linking.R. Lifecycle status does not establish construct validity."
"apply_offline_recalibration","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 034-calibration-recalibration.R. Lifecycle status does not establish construct validity."
"apply_preflight_decision","workflow","apply_preflight_decision",,"0.9.0.9000","Curated module-level workflow classification; source: 058-process-preflight-governance-0-8.R. Lifecycle status does not establish construct validity."
"apply_synthetic_corruption","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 075-benchmark-stress-0-9.R. Lifecycle status does not establish construct validity."
"as_eye_biometrics","workflow","as_eye_biometrics",,"0.9.0.9000","Curated module-level workflow classification; source: 015-export-report-bridges.R. Lifecycle status does not establish construct validity."
"as_eye_dataset","core","as_eye_dataset",,"0.9.0.9000","Curated module-level core classification; source: 002-class.R. Lifecycle status does not establish construct validity."
"as_eyeprocess_eyeris","workflow","as_eyeprocess_eyeris",,"0.9.0.9000","Curated module-level workflow classification; source: 020-interoperability-storage.R. Lifecycle status does not establish construct validity."
"as_eyeprocess_eyetools","workflow","as_eyeprocess_eyetools",,"0.9.0.9000","Curated module-level workflow classification; source: 020-interoperability-storage.R. Lifecycle status does not establish construct validity."
"as_eyeprocess_eyetrackingr","workflow","as_eyeprocess_eyetrackingr",,"0.9.0.9000","Curated module-level workflow classification; source: 020-interoperability-storage.R. Lifecycle status does not establish construct validity."
"as_eyeprocess_gazer","workflow","as_eyeprocess_gazer",,"0.9.0.9000","Curated module-level workflow classification; source: 020-interoperability-storage.R. Lifecycle status does not establish construct validity."
"as_eyeprocess_pupillometryr","workflow","as_eyeprocess_pupillometryr",,"0.9.0.9000","Curated module-level workflow classification; source: 020-interoperability-storage.R. Lifecycle status does not establish construct validity."
"as_irt_recovery_results","advanced",,,"0.9.0.9000","Curated module-level advanced classification; source: 052-irt-validation-0-7.R. Lifecycle status does not establish construct validity."
"as_procdata_sequence","workflow","as_procdata_sequence",,"0.9.0.9000","Curated module-level workflow classification; source: 020-interoperability-storage.R. Lifecycle status does not establish construct validity."
"as_seqhmm_data","workflow","as_seqhmm_data",,"0.9.0.9000","Curated module-level workflow classification; source: 020-interoperability-storage.R. Lifecycle status does not establish construct validity."
"as_traminer_sequence","workflow","as_traminer_sequence",,"0.9.0.9000","Curated module-level workflow classification; source: 020-interoperability-storage.R. Lifecycle status does not establish construct validity."
"assign_aois","core","assign_aois",,"0.9.0.9000","Curated module-level core classification; source: 008-trials-aoi.R. Lifecycle status does not establish construct validity."
